CCC(C)S	CHEMBL3183438
COC1OC2COC(C)(C)OC2C(=O)N1Nc1ccc(cc1)N(=O)=O	CHEMBL2373833
COC(=O)C1OC(CC1[N-][N+]#N)N1C=C(C)C(=O)NC1=O	CHEMBL3126685
CC1CC(OC(C)=O)C2(COC(C)=O)C(CCCC22CO2)C1(C)C	CHEMBL2269425
CCN(CC)C(=S)SCC1OC(O)C(O)C(SC(=S)N(CC)CC)C1O	CHEMBL2270085
CC1OC2C(COP(O)(O)=O)OC(C2O1)n1cnc2c(N)ncnc12	CHEMBL3143582
CCOC(=O)N1C2CC(C(CCCCCCC(O)=O)C2O)N1C(=O)OCC	CHEMBL3251058
CCCCCC1(OCCO1)C=CC1C(O)CC(O)C1CC=CCCCC(=O)OC	CHEMBL3250007
CCCCCCCCCCC(=O)OC1C(CO)OC2C1OC1=NC(=N)C=CN21	CHEMBL3305595
OP1(O)OCC2OC(CC2O1)N1C=C(C(=O)NC1=O)C(F)(F)F	CHEMBL3304216
COC1=CC2C3Cc4c5c(OC(C1=O)C25CCN3C)c(OC)cc4Br	CHEMBL3303458
CC(C)n1cnc2c1N=CN1C2=NC(C)(C(O)C1(C)O)C(O)=O	CHEMBL3298816
CC12CCCC(C)(C1CCC(=C)C2CC(OO)C(=C)C=C)C(O)=O	CHEMBL3402733
CN(Cc1ccccc1)c1nc2c(N)ncnc2n1C1OC(CO)C(O)C1O	CHEMBL3427674
Cc1cccc(CNc2nc3c(N)ncnc3n2C2OC(CO)C(O)C2O)c1	CHEMBL3427678
Cc1ccc(CNc2nc3c(N)ncnc3n2C2OC(CO)C(O)C2O)cc1	CHEMBL3427679
CC1(CO)CCCC2(C)C1CCC1=C2C2CC(O)(C1)C(=C)C2=O	CHEMBL3426497
CNC(=O)C1CC2CN(CC2N1S(C)(=O)=O)C(=O)c1occc1C	CHEMBL3442285
CCCCCCCCN1CCC23C4Oc5c2c(CC1C3(O)CCC4=O)ccc5O	CHEMBL3577589
OC1C(CC(C1O)c1ccccc1)NC(=O)Nc1cccc2[nH]ncc12	CHEMBL3644107
CN1CCC(CC1)c1ccc(CC(NC(=O)C2NC3CCC2C3)C#N)s1	CHEMBL3657579
OS(=O)(=O)ON1C2CN(C(CC2)C(=O)OC2CCNCC2F)C1=O	CHEMBL3659592
CC1(C)C2Cc3c(O)cccc3C1(C)CCN2C(=O)C12CC1CCN2	CHEMBL3700661
COc1cc(cc(OC)c1OC)C1C2C(COC2=O)C(O)c2cc3OCOc3cc12	CHEMBL61
CCCCCC(C)(O)C=CC1C(O)CC2OC(=O)C(F)(F)CCC=CCC12	CHEMBL12717
CCC1OC(=O)C(C)C(=O)C(O)(CO)CC=CC(C)CC(=C)C=C1C	CHEMBL32195
CC1(CO)CC(=O)CC2(C)C3CCC(C)(C=C3CCC12)C(O)CO	CHEMBL3315233
COc1cccc(CC(O)C=CC2C(O)CC(=O)C2SCCCSCC(O)=O)c1	CHEMBL62888
CC1(C)C2CC1C(NC(=O)c1ccccc1)C(CC=CCCCC(O)=O)C2	CHEMBL79413
CC1(C)C2CC1C(NC(=O)C1CCCCC1)C(CC=CCCCC(O)=O)C2	CHEMBL79843
CC1(C)C2CC1C(NC(=O)c1cccnc1)C(CC=CCCCC(O)=O)C2	CHEMBL81538
CC12CCC3C(CCC4Cc5oc(C=O)cc5CC34C)C1CCC2(O)C#C	CHEMBL135225
OCC1OC(NC(=O)C(c2ccccc2)c2ccccc2)C(O)C(O)C1O	CHEMBL3322319
OC(C#CC1C(O)CC2C1Cc1ccc(CC(O)=O)cc21)C1CCCCC1	CHEMBL172332
CC(C)CCCC(C)C1CCC2C(CCCC12C)=Cc1cccc(CO)c1CO	CHEMBL3325562
OC(COc1cccc(Cl)c1)C=CC1OCC(O)C1CC=CCCCCC(O)=O	CHEMBL184264
CCCCCCCCCCC#CC1=CN(C2OC(CO)C(O)C2O)C(=O)NC1=O	CHEMBL231286
Nc1ncnc2n(cnc12)C1OC(CO)C(NC(=O)c2ccccc2)C1O	CHEMBL2112612
CC12CCC=C(CO)CCC3C(OC(=O)C3=Cc3ncc[nH]3)C1O2	CHEMBL3334834
CCCC(=O)NCC(O)C(O)C1OC(=CC(O)C1NC(C)=O)C(O)=O	CHEMBL252061
CC(C(O)CC#C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CHEMBL303528
Cc1cccc(CC(O)C=CC2C(O)CC(=O)C2SCCCSCC(O)=O)c1	CHEMBL305568
CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC=C1CCOC1=O	CHEMBL325613
OC(C=CC1C(O)CC(=O)C1CC(=O)CCCCC(O)=O)C1CCCCC1	CHEMBL337320
CC(O)C1C2CC(C(C)=CC3(C)CCCN3)=C(N2C1=O)C(O)=O	CHEMBL339738
CC(O)C1C2CC(SC3CCN(C3)C(C)=N)=C(N2C1=O)C(O)=O	CHEMBL339323
NN=C1CCC2(O)C3Cc4ccc(O)c5OC1C2(CCN3CC1CC1)c45	CHEMBL349209
CC(=O)OC1C(F)C(CSC(C)=O)OC1N1C=C(F)C(=O)NC1=O	CHEMBL374807
NC(C(=O)N1C2CC2CC1C#N)C12CC3CC(CC(O)(C3)C1)C2	CHEMBL385517
CC1(C)C2CC1C(NC(=O)c1ccsc1)C(CC=CCCCC(O)=O)C2	CHEMBL419040
CC1(C)C2CC1C(NC(=O)c1cccs1)C(CC=CCCCC(O)=O)C2	CHEMBL420953
OCC1C(O)C(O)C(O)CN1CCCCCOCC1C2CC3CC(C2)CC1C3	CHEMBL3354019
OC(COc1cccc(Cl)c1)C=CC1OCC(O)C1CCCC=CCCC(O)=O	CHEMBL433752
CC(O)C1C2C(C)C(C=CCSc3nncs3)=C(N2C1=O)C(O)=O	CHEMBL1205230
CCC(C)C(=O)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O	CHEMBL458708
CC(C)C1C(=O)CC2(C)CC(=O)C(=C)CCC3OC3(C)CC=C12	CHEMBL459255
COC1=CC2=CC3C(C)(CCC4C(C)(C)CCCC34C)OC2=CC1=O	CHEMBL463805
OCC1(OC(C(O)C1N1CCCCC1)N1C=CC(=O)NC1=O)C(O)=O	CHEMBL461790
CC(C)C(=O)OC1CC(CC11C(C)C(O)C(=O)C=C1C)C(C)=C	CHEMBL462737
CC(C)C(N)C(=O)NC1CCC2CCC(N2C1)C(=O)NCc1ccccc1	CHEMBL469951
CC(C)C1=C2CC=C(C=O)C3C(CC2(C)CC1)C(C)C(O)C3=O	CHEMBL465544
CC(C)C1CCC(C)(O)C2C3CC4(C)CCCC(C)(O4)C(O3)C12	CHEMBL478568
CC1=C2CCC(C)(O)CCCC(C)(O)C3CCC(C)(CC2OC1=O)O3	CHEMBL482784
CC(C)CC(=O)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O	CHEMBL484029
CC(=O)OC(Cc1ccoc1)C1C2(C)CCC3C1(CO2)CCCC3(C)C	CHEMBL483020
CC1=CCCC(C)(O)C2CC(CCC3(C)OC3CC1)C(=C)C(=O)O2	CHEMBL488193
CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23	CHEMBL496894
COC(=O)CCC1(C)C(CCC23CC4C(CC12)C4(C)C3)C(C)=O	CHEMBL490771
OCC1OC(C(O)C(O)C1O)c1ccc(Cl)c(Cc2ccc(O)cc2)c1	CHEMBL497971
CC1(CCC2C(=C1)C(=O)CC1C2(C)CCCC1(C)C(O)=O)C=C	CHEMBL511809
CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23	CHEMBL520570
CC1(O)C(O)C(CO)OC1n1cnc2c(NC3CC4CCC3C4)ncnc12	CHEMBL522095
OCC1OC(Oc2cccc(Cl)c2Cc2ccc(Cl)s2)C(O)C(O)C1O	CHEMBL1243208
CC1OC(C(O)C1Cl)n1cnc2c(N)nc(OCC3CC33CC3)nc12	CHEMBL1807860
NCCCCC(N)C(=O)OC1CC(OC1CO)N1C=C(F)C(=O)NC1=O	CHEMBL1823457
CCCCc1ccc(cc1)-c1nc(CNC2C3CC4CC(C3)CC2C4)co1	CHEMBL1862608
CCCCc1ccc(cc1)-c1nc(CNC2CC3CC(C2C)C3(C)C)co1	CHEMBL1860800
CCCC=CC1=CC2(O)C(C)CCC3C(OC(=O)C3=C)C2(C)C1=O	CHEMBL561543
CCCOc1ccc(cc1)-c1nc(CNC2CC3CC(C2C)C3(C)C)co1	CHEMBL1858391
CCCOc1ccc(cc1)-c1nc(CNC2C3CC4CC(C3)CC2C4)co1	CHEMBL1859412
Nc1ccccc1C(=O)OC1COC2C(COC12)OC(=O)NCc1ccccc1	CHEMBL572096
Oc1ccccc1C(=O)OC1COC2C(COC12)OC(=O)NCc1ccccc1	CHEMBL570764
CCC(=O)OC1C=C2C(C)CCC3C(OC(=O)C3=C)C2(C)C1=O	CHEMBL1814803
CCCCC(=O)OC1COC2C(COC12)OC(=O)c1ccccc1OC(C)=O	CHEMBL585850
Cc1ccccc1C(=O)OC1COC2C(COC12)OC(=O)NCc1ccccc1	CHEMBL583687
CCCC(OP(O)(O)=O)C1OC(C(O)C1O)n1cnc2c(N)ncnc12	CHEMBL607630
OCC1OC(C(O)C1O)n1cnc2c1NC(=O)N=C2NC1CC2CCC1C2	CHEMBL608742
OCC1OC(C(O)C(O)C1O)c1cc(Cc2ccc(O)cc2)c(Cl)s1	CHEMBL1830871
CC(O)CNC(=O)CC1OC(CNCc2ccncc2)C2OC(C)(C)OC12	CHEMBL1099216
CC1CC(O)C2C(C)(C)CCCC2(C)C1(O)CCC1=CC(=O)OC1	CHEMBL1079033
CC1(C)C2CCC3(O)CC(C)(C=C)C(=O)CC3C2(C)CCC1=O	CHEMBL1095112
CC(O)CNC(=O)CC1OC(CNCc2ccccc2)C2OC(C)(C)OC12	CHEMBL1099215
COc1cc(O)c2c(c1)C=CCC(O)C(O)C=CC(C)C(C)OC2=O	CHEMBL1079687
CC12CCC3C(CCc4cc(OC5CCCC5)ccc34)C1CCC2(O)C#C	CHEMBL1201165
OCC1OC(C(O)C1O)n1cnc2c(NC3CCc4ccccc4C3)ncnc12	CHEMBL604141
CC(O)(CCc1ccccc1)C=CC1C(O)CC2OC(=O)CCCC=CCC12	CHEMBL429044
CC12CCC3C(C)(C)C(=O)CCC3(C)C1Cc1cc3ccccc3n21	CHEMBL1083627
OCC1OC(C(O)C1O)n1cnc2C3=NC(CN3C=Nc12)c1ccccc1	CHEMBL607912
CCOc1ccc(Cc2cc(ccc2Cl)C2OC(OC)C(O)C(O)C2O)cc1	CHEMBL582979
COc1ccc(CCC(O)CCC2C(O)CC(O)C2CCCCCCC(O)=O)cc1	CHEMBL416784
CC(C)Oc1ccc(cc1)-c1nc(COc2ccc(OCC(O)=O)c(C)c2)sc1-c1cccc(OC(F)(F)F)c1	CHEMBL1080822
FC(F)(F)c1cccc(c1)C(=O)Nc1cccc(c1)-c1ccnc2c(cnn12)-c1cnn(CCN2CCCC2)c1	CHEMBL1081647
CCOc1cc(CC)ccc1C1CCN(CCN2CCC(CC2)NC(=O)c2ccc(cc2)-c2ccc(cc2)C(C)=O)CC1	CHEMBL529688
FC(F)(F)c1cccc(c1)C(=O)Nc1cccc(c1)-c1ccnc2c(cnn12)-c1ccc(CN2CCCC2)cc1	CHEMBL1087522
CC(C)Oc1ccc(cc1)-c1nc(COc2ccc(OCC(O)=O)c(C)c2)sc1-c1ccc(cc1)-c1ccccc1	CHEMBL1076162
COc1ccc(cc1OC)C1=C(C(=O)N(Cc2cc(OC)c(OC)c(OC)c2)C1=O)c1ccc(OC)c(OC)c1	CHEMBL1083456
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN1CCCC1)-c1ccc(c(SCCN2CCCCC2)c1)C(F)(F)F	CHEMBL1090372
CN(C)CCNc1ccc(cn1)-c1cnn2c(ccnc12)-c1cccc(NC(=O)c2cccc(c2)C(F)(F)F)c1	CHEMBL1087781
FC(F)(F)c1cccc(c1)C(=O)Nc1cccc(c1)-c1ccnc2c(cnn12)-c1cnc(nc1)N1CCOCC1	CHEMBL1087906
CCN(C(=O)COC(=O)c1c(C)nn(c1Cl)-c1ccccc1)C1=C(N)N(Cc2ccccc2)C(=O)NC1=O	CHEMBL1868939
Cc1oc(nc1COc1cccc(CN(CC(O)=O)C(=O)Oc2ccc(C)cc2)c1)-c1ccc(cc1)C(F)(F)F	CHEMBL1091218
Cc1cc(Cl)c(OCCCc2ccc(CC(CN)C(=O)N(Cc3cc(CCCO)ccc3Cl)C3CC3)cc2)c(Cl)c1	CHEMBL1092525
Fc1ccc(CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C2CCCN2C(=O)C=Cc2ccccc2)c(F)c1	CHEMBL1075908
COC(c1cncn1C)(c1ccc(Cl)cc1)c1ccc2N(C)C(=O)C=C(c3cccc(c3)C(F)(F)F)c2c1	CHEMBL1097770
CC(C)OC(=O)N1CCC(CC1)n1ncc2c(nc(nc12)-c1ccc(NC(=O)NC2CC2)cc1)N1CCOCC1	CHEMBL1097942
CC(C)Oc1ccc(cn1)-c1nc(COc2ccc(OCC(O)=O)c(C)c2)sc1-c1ccc(OC(F)(F)F)cc1	CHEMBL1079505
CC(C)Oc1ncc(cn1)-c1nc(COc2ccc(OCC(O)=O)c(C)c2)sc1-c1ccc(OC(F)(F)F)cc1	CHEMBL1080172
COc1cc(N2CCN(CC2)C2CCN(CC2)c2ccc(F)c3c(OC)cc(nc23)C(F)(F)F)c2ncccc2c1	CHEMBL1096671
CC(C)Oc1ncc(cn1)-c1nc(COc2ccc(OCC(O)=O)c(C)c2)oc1-c1ccc(OC(F)(F)F)cc1	CHEMBL1080365
CC(C)C(OCc1ccccc1)C(C)C=NOC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	CHEMBL1871484
Cc1oc(nc1COc1cccc(CN(CC(O)=O)C(=O)Oc2ccc(C)cc2)c1)-c1ccc(cc1)C(C)(C)C	CHEMBL1090187
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN2C(=O)N(C)C(C)(C)C2=O)cc1	CHEMBL1164104
COc1ccc(cc1)C(=O)Nc1nc(cc(-c2cccc(c2)C(=O)NC(C)(C)CN)c1C#N)-c1ccccc1O	CHEMBL1165467
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(C)c(Nc2nccc(n2)-c2cccnc2)c1)C(C)(C)C	CHEMBL1213973
CN(C)CCNC(=O)Nc1ccc(cc1)-c1nc(N2CCOCC2)c2cnn(C3CCN(Cc4ccccc4)CC3)c2n1	CHEMBL1097898
CCc1sc(NC(=O)c2cnc(N3CCC(CC3)C(O)=O)c(Cl)c2)nc1-c1ccc(F)c(c1)C(F)(F)F	CHEMBL1171783
CCCNCC(O)Cn1nc(c2CN(CCc12)S(C)(=O)=O)-c1ccc(c(SCCN2CCCCC2)c1)C(F)(F)F	CHEMBL1091047
OC(=O)C1CCN(CC1)c1ncc(cc1Cl)C(=O)Nc1nc(c(F)s1)-c1ccc(F)c(OC(F)(F)F)c1	CHEMBL1170600
OC(=O)C1CCN(CC1)c1ncc(cc1Cl)C(=O)Nc1nc(c(Cl)s1)-c1ccc(F)c(c1)C(F)(F)F	CHEMBL1172355
Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NCC1CCC(CNS(N)(=O)=O)CC1	CHEMBL1834020
Clc1ccc-2c(c1)C(=NCc1nnc(C(CN3CCN(CC3)c3ccccc3)c3ccccc3)n-21)c1ccccc1	CHEMBL1178220
COc1ccc(cc1)N1N=C(C2CCN(C(=O)C12)c1ccc(cc1)C1(CN2CCCC2)CC1)S(C)(=O)=O	CHEMBL1186178
C[N+](C)=C1C=CC2=C(c3ccc(s3)C(=S)N3CCOCC3)c3cc4CCCN5CCCc(c3SC2=C1)c45	CHEMBL1187558
Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NCc1ccc(CNS(N)(=O)=O)cc1	CHEMBL1834280
Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NCc1cccc(CNS(N)(=O)=O)c1	CHEMBL1834282
COC(=O)C1=C(c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)nc2C(=O)N1Cc1ccncc1	CHEMBL1191330
C[N+](C)=C1C=CC2=C(c3ccc(s3)C(=S)N3CCCCC3)c3cc4CCCN5CCCc(c3SC2=C1)c45	CHEMBL1186117
CCC[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](CCC)c5ccc(N)cc45)cc3)cc2)cc1	CHEMBL3306623
COc1ccc(cc1OC)-c1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)ncnc1OCCOc1ncc(SC)cn1	CHEMBL1181531
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)[n+]1c(C)cc(C)cc1C	CHEMBL1180333
CCCCOCC1(CC(=NO1)c1cccc(c1)C(N)=N)C(=O)Nc1ccc(cc1)-c1ccccc1S(N)(=O)=O	CHEMBL1184048
CCc1cc(cc(CC)[n+]1CC(=O)Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O)-c1ccccc1	CHEMBL1183869
COC(=O)C1=C(c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)nc2C(=O)N1Cc1cccnc1	CHEMBL1189674
CN1CCN(CCCCOc2ccc(cc2)-c2cc(nc-3c2CC(=O)Nc2ccccc-32)-c2cccc(Cl)c2)CC1	CHEMBL1188737
FC(F)(F)C1(CCC1)c1nnc(s1)-c1nn(c(c1Cn1cncn1)-c1ccc(Br)cc1)-c1ccccc1Cl	CHEMBL1223329
COC(=O)C1=C(c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)nc2C(=O)N1Cc1ccccn1	CHEMBL1189925
NC(N)=NCCCCCCCC(=O)Nc1ccc(OCCCN=C(N)N)cc1C(=O)Nc1ccc(Oc2ccc(O)cc2)cc1	CHEMBL1198038
CCCCN1C(=O)C(NC(=O)Nc2c(ccc(N)c2C(C)C)C(C)C)=C(c2cccc(OC)c2)c2cccnc12	CHEMBL1196394
Clc1ccc(cc1)C(=O)Nn1c(Cc2csc(NC(=O)c3ccccc3)n2)nnc1SCC(=O)NN=Cc1ccccc1	CHEMBL413137
FC(F)(F)C1(CCC1)c1nnc(s1)-c1nn(c(c1Cn1cncn1)-c1ccc(Cl)cc1)-c1ccccc1Cl	CHEMBL1223179
Clc1cc(Cl)cc(NC(=O)CN2CCc3cc(ccc3C22CCN(CC2)C2CCOCC2)-c2cccc(c2)C#N)c1	CHEMBL384163
CCCC(=O)N1CCC(CC1)NS(=O)(=O)c1ccc(NC(=O)c2ccc(OCc3ccccc3)cc2)c2ccccc12	CHEMBL374274
CCCCCC(C)CCCCCCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCCCCCCC(C)C(CC)CCCC	CHEMBL449717
CNC(=O)N1C(Cc2c[nH]c3ccccc23)C(=O)N(Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)C1=O	CHEMBL425848
CCc1cccc(c1)-c1ccc(cc1)C(=O)NC(C=Cc1ccccc1)C(Cc1cccc(c1)C(N)=N)C(=O)OC	CHEMBL342211
CCCCC1CN(CCC11CCN(CC1)C1(C)CCN(CC1)C(=O)c1c(C)ncnc1C)S(=O)(=O)C1CCOCC1	CHEMBL454253
CON=C(COCc1ccc(cc1)-c1ccccc1)C(CCN1CCC(O)(CC1)c1ccccc1)c1ccc(Cl)c(Cl)c1	CHEMBL33479
Clc1ccc2c(Nc3cc(NC(=O)CN4CCCCC4)cc(c3)C(=O)N3CCN(Cc4ccccc4)CC3)ccnc2c1	CHEMBL508376
OC(=O)c1ccc(OCCc2c(CCNS(=O)(=O)Cc3ccccc3)n(Cc3ccccc3)c3ccc(Cl)cc23)cc1	CHEMBL375996
CCOC(=O)C1=C(C)NC(=C(C1C#Cc1ccccc1)C(=O)OCc1ccc(cc1)C(=O)NCCN)c1ccccc1	CHEMBL328948
CCN(CC)C(=O)C1CCCN(Cc2ccc(c(C)c2)-c2ccc(CN3CCCC(C3)C(=O)N(CC)CC)cc2C)C1	CHEMBL56595
Cn1c(c(CCC(=O)N2CCC(O)(Cc3ccccc3)CC2)c2cc(ccc12)-c1ccncc1)-c1ccc(Cl)cc1	CHEMBL20736
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C2CCCCC2)c(nc2ccccc12)-c1ccccc1)c1ccccc1	CHEMBL221237
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(NC(=O)NCCCN2CCC(CC2)c2ccccc2)c1)C(=O)OC	CHEMBL125807
CCCc1nc(CN2CCN(CC2)c2ccccc2)c(C(O)=O)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	CHEMBL307756
CCN(C1CCCCCCC1)C(=O)c1ccc2[nH]c(c(CCNCCCCc3ccncc3)c2c1)-c1cc(C)cc(C)c1	CHEMBL295641
Fc1ccc(cc1Cl)C(CNC(=O)Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)N1CCC(CC1)N1CCCCC1	CHEMBL136559
Clc1ccc2C(N3CCN(C(C3)C(=O)NCc3cccnc3)C(=O)NC3CCCCC3)c3ncc(Br)cc3CCc2c1	CHEMBL372343
COc1ccccc1C(CNC(=O)Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)N1CCC(O)(CC1)c1ccccc1	CHEMBL138130
CC(C)(c1cc(-c2cccc(c2)C(=O)Nc2ccc(cc2)S(C)(=O)=O)c2ncccc2c1)S(C)(=O)=O	CHEMBL208149
Cc1oc(nc1COc1cccc(CN(CC(O)=O)C(=O)Oc2ccc(C)cc2)c1)-c1ccc(cc1)N1CCOCC1	CHEMBL1089970
CNS(=O)(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(F)cc(c2)C(F)(F)F)c(C)c1	CHEMBL199539
CC(C)c1cccc(c1)-c1cccc2N(CC(O)C(F)(F)F)C(CCc12)c1cccc(OC(F)(F)C(F)F)c1	CHEMBL523092
CCOc1cccc(c1)C1(CCN(CC1)c1ncccn1)C(=O)NS(=O)(=O)Oc1c(cccc1C(C)C)C(C)C	CHEMBL1093545
CCN(C(CC(N)=O)c1ccc(C)cc1)C(=O)CCCOc1cc(nn1-c1ccc(Cl)c(Cl)c1)-c1cccnc1	CHEMBL506242
CON(Cc1ccc(s1)-c1[nH]nc-2c1Cc1cc(CN3CCN(C)CC3)ccc-21)C(=O)Nc1cccc(C)c1	CHEMBL214109
CN(CC(N1CCC(CC1)N1CCCCC1)c1ccccc1Br)C(=O)Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F	CHEMBL342662
CC(C)(C)c1onc(c1COc1ccc(C(=O)Nc2cccc(c2)C(O)=O)c(Cl)c1)-c1c(Cl)cccc1Cl	CHEMBL234749
NC(N)=NCCCCCCCC(=O)Nc1ccc(OCCCN=C(N)N)cc1C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1	CHEMBL1198022
CC(C)(C)OC(=O)CCc1ccc(CN(C(=O)C2CCCCC2)c2cccc(C=CC(=O)OC(C)(C)C)c2)cc1	CHEMBL192839
CCCC(=O)OC1C(Oc2ccc(I)cc2)OC(CNS(=O)(=O)c2cccc(c2)C(F)(F)F)C(O)C1OCC=C	CHEMBL332285
COc1ccc(cc1)C1CC(=NN1C(=O)COC(=O)c1cccc(c1)S(=O)(=O)N1CCOCC1)c1ccccc1	CHEMBL1300226
COc1cccc(Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)ncnc2OCCOc2nccc3ccccc23)c1	CHEMBL1181533
CN(C)c1ccc(cc1)-c1nc(-c2ccc(cc2)C(O)=O)n(CCc2ccccc2)c1-c1ccc(cc1)N(C)C	CHEMBL315459
COc1ccc(C)c(OC(CCN2CCC(CC2)N2C(=O)N(CC(=O)NC(C)(C)C)c3ccccc23)C(C)C)c1	CHEMBL399393
COC(=O)C1=C(C)NC(=O)N(C1c1ccc(F)c(F)c1)C(=O)NCCCN1CCC2(CCc3ccccc23)CC1	CHEMBL424494
COc1ccc(cc1)N1CCN(CC1)C(=O)CN(C)S(=O)(=O)c1ccc2N(C)C(=O)N(C)C(=O)c2c1	CHEMBL1303836
COC(=O)c1cccc2n(cc(C(=O)c3ccc(Cn4c(C)nc5cnccc45)cc3)c12)S(=O)(=O)C(C)C	CHEMBL368113
Cc1cc(C)cc(CNC(=O)CCc2nc(N)nc(N)c2-c2ccc(NCc3ccc(cc3)S(C)(=O)=O)cc2)c1	CHEMBL377514
CN(C)S(=O)(=O)c1ccc(N2CCCC2)c(c1)C(=O)N1CCN(CC1)S(=O)(=O)c1ccc(C)cc1C	CHEMBL1323695
Cc1cc(COc2ccc(cc2)S(=O)(=O)C2(CCN(CC2)C(=O)c2ccccc2)C(=O)NO)c2ccccc2n1	CHEMBL502796
COc1cccc(c1)N1CCN(CC1)C(=O)CN(C)S(=O)(=O)c1ccc2N(C)C(=O)N(C)C(=O)c2c1	CHEMBL1876149
Fc1ccc(F)c(OCCCc2ccc(cc2)C2=C(CNCC2)C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)c1Cl	CHEMBL1088290
CC(C)(C)OC(=O)N1CCC(CC1)c1c(cnn1-c1ccccc1)C(=O)NCCN1CCC(Cc2ccccc2)CC1	CHEMBL1357947
COC(=O)CC1(CC(=NO1)c1cccc(c1)C(N)=N)C(=O)Nc1ccc(cc1)-c1ccccc1C(F)(F)F	CHEMBL1183816
Cc1cc(C)c(c(C)c1)-n1c(Cl)cn2c(CN(CCC(F)(F)F)Cc3ccccc3)c(nc12)C(F)(F)F	CHEMBL1083035
Cc1cc(C)c(c(C)c1)-n1c(Cl)cn2c(CN(CCc3ccccc3)CC(F)(F)F)c(nc12)C(F)(F)F	CHEMBL1086522
Cc1ccc(cc1)C(CC(N)=O)NC(=O)CC(=O)COc1cc(nn1-c1ccc(Cl)c(Cl)c1)-c1cccnc1	CHEMBL499908
CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)N1CCCC(C1)C(=O)N1CCN(CC1)c1cc(C)ccc1C	CHEMBL585999
CC(C)N(C(C)C)c1c(F)c(Oc2cccc(c2)C(N)=N)nc(Oc2ccc(CN(C)C)cc2C(O)=O)c1F	CHEMBL1184971
COCCc1ccc(Cl)c(CN(C2CC2)C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)c1	CHEMBL1092187
CC(C)NC(C)CC(=O)Nc1cccc(c1)-c1cc(nc(NC(=O)c2ccco2)c1C#N)-c1ccc(F)cc1O	CHEMBL1170692
COc1cc(cc(OC)c1OC)-c1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)NCc2ccco2)c2ccccc2n1	CHEMBL1372058
COc1ccc(cc1OC)-c1c(C#N)c(SCC(=O)Nc2ccc(C)c(C)c2)nc(C)c1C(=O)Nc1ccccc1	CHEMBL1365907
Cc1nc2sc(C(=O)Nc3ccc(F)cc3)c(N)c2c(-c2ccc(Br)cc2)c1C(=O)Nc1ccc(Cl)cc1	CHEMBL1366448
CC(=O)Nc1ccc(NC2=Nc3ccccc3N3C(c4c(C)nn(c4N=C23)-c2ccccc2)c2ccccc2)cc1	CHEMBL1346096
COc1cccc(C(N(C(=O)Cc2cccs2)c2ccc(c(OC)c2)-n2cnnn2)C(=O)NC2CCCCC2)c1OC	CHEMBL1313252
COc1ccc(CCNC(=O)c2cnn(c2C2CCN(CC2)C(=O)OC(C)(C)C)-c2ccc(F)cc2)c(OC)c1	CHEMBL1317082
